Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,142.597,-132.059,66.6469,540.26,77.0846,826.78
2,0,142.586,-132.058,66.6421,540.262,77.0814,826.774
3,0,142.586,-132.058,66.6421,540.262,77.0814,826.774
4,0,143.193,-130.93,66.6441,540.573,76.9797,827.095
5,0,142.589,-132.06,66.6299,540.261,77.0843,826.762
6,0,142.592,-132.065,66.6176,540.258,77.0893,826.752
7,0,142.489,-132.232,66.5754,540.255,77.1052,826.735
8,0,142.594,-132.067,66.6331,540.265,77.0933,826.742
9,0,141.32,-134.085,65.6406,539.977,77.3101,826.425
10,0,141.321,-134.083,65.637,539.983,77.3074,826.418
11,0,143.2,-130.927,66.6211,540.582,76.9796,827.063
12,0,143.202,-130.934,66.6152,540.591,76.9797,827.059
13,0,142.594,-132.062,66.6141,540.283,77.066,826.73
14,0,142.9,-131.547,66.7297,540.541,77.0421,826.985
15,0,142.603,-132.07,66.6057,540.273,77.0845,826.731
16,0,142.599,-132.068,66.596,540.282,77.0917,826.715
17,0,142.505,-132.237,66.5409,540.268,77.1083,826.706
18,0,142.611,-132.072,66.592,540.271,77.1014,826.719
19,0,142.6,-132.076,66.5974,540.273,77.0955,826.719
20,0,141.315,-134.085,65.5583,539.969,77.3093,826.386
21,0,142.587,-132.082,66.5943,540.273,77.0879,826.709
22,0,143.198,-130.937,66.613,540.595,76.9753,827.045
23,0,142.603,-132.059,66.6113,540.281,77.0844,826.721
24,0,142.605,-132.065,66.6059,540.282,77.0831,826.72
25,0,142.601,-132.067,66.616,540.283,77.0825,826.722
26,0,142.601,-132.072,66.5932,540.273,77.0854,826.723
27,0,142.601,-132.072,66.5932,540.273,77.0854,826.723
28,0,142.608,-132.068,66.603,540.28,77.0893,826.723
29,0,142.609,-132.064,66.6145,540.284,77.0894,826.717
30,0,141.319,-134.083,65.5702,539.986,77.3033,826.392
31,0,142.588,-132.081,66.5941,540.287,77.0891,826.707
32,0,143.203,-130.934,66.6075,540.606,76.9796,827.039
33,0,142.6,-132.057,66.616,540.294,77.0865,826.718
34,0,143.178,-130.969,66.6019,540.571,76.9879,827.015
35,0,142.61,-132.065,66.5965,540.277,77.1019,826.721
36,0,142.599,-132.07,66.5973,540.279,77.0893,826.717
37,0,142.5,-132.238,66.5489,540.275,77.1084,826.705
38,0,142.604,-132.074,66.5956,540.278,77.0944,826.721
39,0,142.603,-132.08,66.5989,540.272,77.0958,826.72
40,0,141.326,-134.092,65.5565,539.975,77.3156,826.388
41,0,141.323,-134.086,65.5659,539.982,77.3176,826.391
42,0,142.61,-132.056,66.6056,540.288,77.0926,826.722
43,0,142.621,-132.056,66.6109,540.286,77.1005,826.73
44,0,143.216,-130.931,66.6038,540.594,76.9972,827.05
45,0,142.618,-132.061,66.5945,540.28,77.1041,826.726
46,0,142.603,-132.067,66.5823,540.282,77.0936,826.715
47,0,142.499,-132.234,66.5433,540.275,77.1128,826.697
48,0,142.506,-132.228,66.5437,540.277,77.1145,826.696
49,0,142.593,-132.072,66.5964,540.286,77.0928,826.704
50,0,142.596,-132.073,66.5919,540.283,77.0985,826.709
51,0,141.323,-134.097,65.6007,539.996,77.3184,826.397
52,0,142.59,-132.079,66.5874,540.284,77.0961,826.701
53,0,143.201,-130.927,66.6015,540.603,76.9817,827.039
54,0,143.201,-130.927,66.6015,540.603,76.9817,827.039
55,0,142.605,-132.062,66.5887,540.289,77.0878,826.712
56,0,142.605,-132.062,66.5887,540.289,77.0878,826.712
57,0,142.598,-132.066,66.6067,540.288,77.0905,826.709
58,0,142.607,-132.068,66.6024,540.284,77.101,826.714
59,0,142.618,-132.064,66.5975,540.269,77.1123,826.72
60,0,142.608,-132.067,66.6093,540.282,77.1061,826.714
61,0,142.6,-132.064,66.6156,540.28,77.1025,826.708
62,0,142.601,-132.059,66.6185,540.277,77.1064,826.705
63,0,142.605,-132.06,66.5941,540.27,77.1111,826.705
64,0,142.608,-132.061,66.6042,540.265,77.1146,826.707
65,0,142.509,-132.218,66.5544,540.264,77.1266,826.7
66,0,142.596,-132.08,66.6027,540.265,77.1081,826.71
67,0,142.509,-132.229,66.5535,540.263,77.1152,826.705
68,0,142.592,-132.086,66.5963,540.273,77.0984,826.708
69,0,142.585,-132.088,66.5904,540.276,77.0872,826.708
70,0,142.59,-132.087,66.5884,540.279,77.0945,826.703
71,0,142.59,-132.087,66.5884,540.279,77.0945,826.703
72,0,142.593,-132.079,66.5978,540.281,77.0967,826.705
73,0,141.327,-134.082,65.575,539.989,77.3217,826.388
74,0,142.597,-132.081,66.587,540.28,77.1035,826.698
75,0,142.622,-132.053,66.5924,540.292,77.1105,826.714
76,0,142.615,-132.053,66.5852,540.294,77.1072,826.703
77,0,142.6,-132.053,66.6062,540.302,77.1035,826.7
78,0,142.604,-132.055,66.5955,540.288,77.1071,826.706
79,0,142.506,-132.227,66.535,540.269,77.1244,826.696
80,0,142.596,-132.067,66.5911,540.275,77.0986,826.708
81,0,141.323,-134.093,65.6061,539.99,77.3225,826.396
82,0,142.598,-132.074,66.5986,540.275,77.0989,826.711
83,0,142.614,-132.056,66.6047,540.279,77.1011,826.724
84,0,142.614,-132.056,66.6047,540.279,77.1011,826.724
85,0,143.188,-130.971,66.5968,540.566,77.0034,827.022
86,0,142.612,-132.061,66.6026,540.282,77.1116,826.713
87,0,142.505,-132.223,66.535,540.279,77.1269,826.693
88,0,142.602,-132.061,66.5972,540.29,77.1165,826.704
89,0,142.602,-132.067,66.5819,540.287,77.1176,826.698
90,0,141.326,-134.083,65.5573,539.99,77.3326,826.37
91,0,142.595,-132.073,66.5812,540.285,77.1108,826.696
92,0,142.61,-132.057,66.5947,540.302,77.0955,826.705
93,0,142.603,-132.054,66.6079,540.297,77.0942,826.71
94,0,142.606,-132.059,66.5926,540.292,77.0934,826.707
95,0,143.148,-131.022,66.5838,540.55,76.9806,826.978
96,0,142.595,-132.07,66.5913,540.288,77.0846,826.704
97,0,142.498,-132.236,66.5386,540.281,77.1141,826.696
98,0,142.589,-132.069,66.5973,540.288,77.0986,826.706
99,0,142.601,-132.072,66.5954,540.281,77.1131,826.71
100,0,142.608,-132.072,66.5851,540.28,77.1174,826.704
101,0,142.594,-132.074,66.5944,540.282,77.1108,826.698
102,0,142.596,-132.071,66.5785,540.274,77.1171,826.692
103,0,141.337,-134.08,65.5627,539.985,77.3427,826.379
104,0,142.596,-132.076,66.5694,540.28,77.1171,826.693
105,0,143.203,-130.917,66.5945,540.603,77.002,827.022
106,0,142.604,-132.055,66.5887,540.293,77.1035,826.701
107,0,142.598,-132.058,66.6011,540.299,77.0922,826.705
108,0,142.598,-132.058,66.6011,540.299,77.0922,826.705
109,0,142.504,-132.236,66.523,540.279,77.1127,826.685
110,0,142.599,-132.066,66.5795,540.291,77.0968,826.698
111,0,142.603,-132.07,66.5923,540.298,77.099,826.697
112,0,142.6,-132.073,66.5744,540.291,77.1007,826.698
113,0,141.333,-134.084,65.5822,540,77.328,826.384
114,0,142.607,-132.076,66.574,540.289,77.1111,826.696
115,0,143.213,-130.924,66.5883,540.609,76.9976,827.026
116,0,142.613,-132.052,66.5878,540.296,77.1083,826.701
117,0,143.187,-130.962,66.5857,540.574,77.0094,827.003
118,0,142.61,-132.057,66.6006,540.288,77.1128,826.697
119,0,142.505,-132.23,66.5271,540.275,77.1307,826.688
