Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,6.51268,175.757,-44.4933,749.584,328.97,787.33
2,0,6.50919,175.754,-44.4843,749.578,328.979,787.335
3,0,6.5107,175.757,-44.4846,749.581,328.969,787.336
4,0,6.50585,175.759,-44.4764,749.575,328.972,787.331
5,0,6.50968,175.758,-44.4803,749.581,328.974,787.33
6,0,6.51607,175.754,-44.4833,749.586,328.967,787.331
7,0,6.52302,175.763,-44.4864,749.594,328.953,787.31
8,0,6.52305,175.764,-44.4852,749.59,328.956,787.305
9,0,6.53029,175.757,-44.4943,749.597,328.956,787.312
10,0,6.53075,175.755,-44.4931,749.601,328.947,787.304
11,0,6.52783,175.747,-44.492,749.611,328.945,787.303
12,0,6.53193,175.759,-44.4955,749.61,328.953,787.289
13,0,6.53835,175.749,-44.5028,749.612,328.943,787.293
14,0,6.53943,175.748,-44.5037,749.612,328.95,787.297
15,0,6.54525,175.75,-44.5099,749.615,328.955,787.298
16,0,6.54487,175.754,-44.5119,749.617,328.948,787.295
17,0,6.53846,175.748,-44.5085,749.625,328.949,787.301
18,0,6.53483,175.737,-44.5092,749.62,328.949,787.316
19,0,6.54132,175.749,-44.51,749.627,328.947,787.292
20,0,6.5375,175.746,-44.509,749.616,328.945,787.308
21,0,6.54116,175.739,-44.5173,749.611,328.958,787.321
22,0,6.54311,175.74,-44.5154,749.614,328.957,787.319
23,0,6.54719,175.742,-44.5157,749.607,328.955,787.316
24,0,6.54276,175.741,-44.5113,749.614,328.958,787.311
25,0,6.53929,175.748,-44.5013,749.612,328.952,787.299
26,0,6.53846,175.746,-44.5069,749.613,328.951,787.303
27,0,6.54248,175.751,-44.505,749.614,328.947,787.293
28,0,6.54658,175.744,-44.5156,749.609,328.953,787.301
29,0,6.5351,175.74,-44.5061,749.621,328.956,787.298
30,0,6.53843,175.739,-44.5109,749.613,328.96,787.306
31,0,6.54914,175.755,-44.507,749.61,328.935,787.294
32,0,6.5388,175.748,-44.5097,749.613,328.956,787.309
33,0,6.54198,175.745,-44.5144,749.619,328.943,787.304
34,0,6.54021,175.745,-44.5189,749.613,328.944,787.311
35,0,6.53703,175.74,-44.513,749.618,328.954,787.312
36,0,6.53467,175.736,-44.5121,749.613,328.957,787.317
37,0,6.54302,175.736,-44.5231,749.617,328.958,787.314
38,0,6.54282,175.74,-44.5179,749.618,328.954,787.303
39,0,6.54475,175.75,-44.5074,749.618,328.948,787.297
40,0,6.54873,175.755,-44.5106,749.61,328.948,787.294
41,0,6.53918,175.74,-44.5065,749.62,328.949,787.298
42,0,6.53853,175.734,-44.5134,749.623,328.95,787.306
43,0,6.54142,175.753,-44.508,749.617,328.952,787.293
44,0,6.53668,175.743,-44.5115,749.621,328.967,787.3
45,0,6.54652,175.742,-44.5176,749.613,328.964,787.307
46,0,6.54699,175.741,-44.5149,749.617,328.962,787.306
47,0,6.54586,175.736,-44.5121,749.615,328.955,787.31
48,0,6.54031,175.74,-44.5082,749.615,328.963,787.302
49,0,6.53491,175.742,-44.5027,749.618,328.96,787.293
50,0,6.54027,175.75,-44.5031,749.613,328.948,787.299
51,0,6.54254,175.736,-44.5128,749.611,328.954,787.313
52,0,6.54012,175.739,-44.5083,749.617,328.95,787.304
53,0,6.54254,175.739,-44.5084,749.618,328.952,787.303
54,0,6.53761,175.738,-44.5094,749.622,328.947,787.306
55,0,6.54241,175.743,-44.5082,749.615,328.957,787.305
56,0,6.54384,175.748,-44.5107,749.613,328.95,787.305
57,0,6.53887,175.746,-44.4996,749.615,328.947,787.297
58,0,6.54278,175.743,-44.5127,749.609,328.941,787.304
59,0,6.53671,175.748,-44.5039,749.617,328.938,787.293
60,0,6.54435,175.75,-44.5011,749.616,328.926,787.28
61,0,6.54526,175.746,-44.5061,749.615,328.942,787.295
62,0,6.54526,175.746,-44.5061,749.615,328.942,787.295
63,0,6.53742,175.743,-44.5028,749.61,328.953,787.301
64,0,6.54581,175.739,-44.5086,749.607,328.949,787.305
65,0,6.55169,175.743,-44.5139,749.605,328.949,787.305
66,0,6.54589,175.74,-44.5073,749.604,328.947,787.306
67,0,6.54505,175.739,-44.5114,749.611,328.946,787.307
68,0,6.54445,175.743,-44.5051,749.616,328.942,787.297
69,0,6.54345,175.751,-44.5007,749.62,328.941,787.278
70,0,6.54808,175.749,-44.5099,749.621,328.937,787.285
71,0,6.54642,175.745,-44.5088,749.619,328.951,787.292
72,0,6.53663,175.75,-44.5027,749.627,328.955,787.287
73,0,6.53471,175.737,-44.505,749.628,328.944,787.289
74,0,6.54043,175.746,-44.5089,749.625,328.937,787.291
75,0,6.53145,175.737,-44.5014,749.619,328.933,787.289
76,0,6.53559,175.738,-44.5076,749.62,328.908,787.293
77,0,6.53996,175.74,-44.503,749.609,328.919,787.293
78,0,6.53808,175.731,-44.5053,749.609,328.924,787.298
79,0,6.537,175.729,-44.5124,749.61,328.931,787.303
80,0,6.53487,175.728,-44.5087,749.614,328.931,787.304
81,0,6.55143,175.73,-44.5186,749.61,328.916,787.299
82,0,6.53875,175.734,-44.51,749.621,328.923,787.289
83,0,6.54529,175.745,-44.5079,749.616,328.929,787.279
84,0,6.5464,175.746,-44.5067,749.62,328.928,787.272
85,0,6.54969,175.736,-44.5151,749.621,328.928,787.273
86,0,6.53801,175.737,-44.502,749.627,328.932,787.267
87,0,6.53952,175.743,-44.5,749.619,328.935,787.276
88,0,6.54665,175.742,-44.5113,749.614,328.93,787.291
89,0,6.53881,175.733,-44.5129,749.62,328.935,787.301
90,0,6.5469,175.733,-44.5195,749.613,328.941,787.306
91,0,6.54053,175.737,-44.508,749.61,328.939,787.301
92,0,6.53551,175.739,-44.5021,749.612,328.94,787.294

Trajectories
100
,,New Subject:gripper1,,,New Subject:gripper2,,,New Subject:gripper3,,,New Subject:gripper4,,,New Subject:gripper5,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,750.232,328.594,787.098,751.078,349.281,824.623,764.953,541.361,713.413,657.516,356.685,824.711,794.193,346.203,825.7
2,0,750.227,328.587,787.089,751.071,349.289,824.632,764.938,541.372,713.443,657.519,356.696,824.712,794.171,346.218,825.718
3,0,750.23,328.557,787.1,751.074,349.292,824.631,764.938,541.364,713.448,657.525,356.697,824.71,794.182,346.204,825.711
4,0,750.21,328.57,787.107,751.068,349.271,824.619,764.918,541.374,713.463,657.533,356.695,824.703,794.174,346.213,825.712
5,0,750.219,328.566,787.099,751.076,349.292,824.618,764.932,541.356,713.463,657.542,356.705,824.7,794.178,346.217,825.708
6,0,750.231,328.563,787.106,751.075,349.292,824.618,764.959,541.337,713.458,657.538,356.697,824.696,794.18,346.215,825.696
7,0,750.251,328.524,787.081,751.087,349.292,824.603,764.98,541.32,713.44,657.546,356.701,824.689,794.2,346.2,825.662
8,0,750.23,328.536,787.098,751.101,349.296,824.573,764.977,541.327,713.437,657.544,356.696,824.682,794.193,346.2,825.661
9,0,750.222,328.558,787.107,751.109,349.285,824.572,765.001,541.296,713.429,657.573,356.707,824.672,794.186,346.214,825.674
10,0,750.232,328.533,787.093,751.097,349.293,824.568,765.013,541.279,713.429,657.565,356.693,824.665,794.202,346.216,825.656
11,0,750.226,328.512,787.102,751.094,349.296,824.57,765.023,541.278,713.431,657.589,356.681,824.645,794.203,346.235,825.65
12,0,750.236,328.537,787.097,751.117,349.288,824.536,765.021,541.277,713.417,657.575,356.708,824.653,794.212,346.235,825.634
