Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,125.243,120.712,-66.9119,1041.74,402.361,772.508
2,0,125.234,120.721,-66.8954,1041.74,402.356,772.498
3,0,125.231,120.717,-66.9044,1041.73,402.357,772.508
4,0,125.226,120.716,-66.9015,1041.74,402.357,772.508
5,0,125.237,120.719,-66.8891,1041.73,402.355,772.498
6,0,125.238,120.721,-66.8862,1041.74,402.351,772.487
7,0,125.232,120.724,-66.8843,1041.74,402.342,772.477
8,0,125.229,120.731,-66.8747,1041.73,402.342,772.474
9,0,125.221,120.732,-66.8701,1041.73,402.335,772.468
10,0,125.221,120.719,-66.8904,1041.72,402.331,772.476
11,0,125.216,120.716,-66.8965,1041.72,402.333,772.476
12,0,125.211,120.717,-66.8974,1041.71,402.328,772.481
13,0,125.206,120.717,-66.896,1041.7,402.332,772.485
14,0,125.205,120.718,-66.8915,1041.71,402.326,772.478
15,0,125.202,120.714,-66.8928,1041.7,402.325,772.482
16,0,125.2,120.712,-66.9007,1041.71,402.325,772.478
17,0,125.192,120.719,-66.8893,1041.72,402.315,772.47
18,0,125.196,120.722,-66.8903,1041.71,402.325,772.484
19,0,125.206,120.709,-66.9013,1041.71,402.324,772.477
20,0,125.195,120.715,-66.8932,1041.71,402.33,772.483
21,0,125.192,120.721,-66.8856,1041.72,402.321,772.473
22,0,125.203,120.716,-66.8931,1041.72,402.323,772.468
23,0,125.217,120.709,-66.8961,1041.7,402.33,772.473
24,0,125.209,120.713,-66.8957,1041.71,402.335,772.479
25,0,125.202,120.712,-66.9034,1041.72,402.326,772.471
26,0,125.212,120.716,-66.8964,1041.73,402.323,772.46
27,0,125.216,120.715,-66.8915,1041.7,402.314,772.463
28,0,125.205,120.714,-66.8933,1041.72,402.314,772.455
29,0,125.209,120.718,-66.8888,1041.71,402.329,772.468
30,0,125.211,120.715,-66.889,1041.7,402.332,772.472
31,0,125.208,120.716,-66.8836,1041.71,402.325,772.465
32,0,125.211,120.71,-66.8986,1041.7,402.331,772.473
33,0,125.21,120.713,-66.8965,1041.71,402.324,772.47
34,0,125.209,120.719,-66.8852,1041.71,402.318,772.456
35,0,125.208,120.713,-66.892,1041.71,402.324,772.463
36,0,125.2,120.705,-66.9141,1041.7,402.314,772.476
37,0,125.205,120.708,-66.9025,1041.71,402.324,772.476
38,0,125.195,120.71,-66.9052,1041.71,402.326,772.486
39,0,125.2,120.711,-66.9024,1041.7,402.325,772.487
40,0,125.194,120.714,-66.9011,1041.7,402.325,772.482
41,0,125.201,120.712,-66.8957,1041.71,402.328,772.479
42,0,125.208,120.72,-66.8909,1041.71,402.323,772.473
43,0,125.203,120.725,-66.878,1041.71,402.32,772.468
44,0,125.193,120.719,-66.892,1041.72,402.312,772.469
45,0,125.195,120.715,-66.8965,1041.71,402.327,772.481
46,0,125.196,120.713,-66.8949,1041.7,402.328,772.483
47,0,125.2,120.717,-66.8919,1041.71,402.321,772.475
48,0,125.199,120.711,-66.9,1041.71,402.33,772.48
49,0,125.205,120.709,-66.8996,1041.71,402.336,772.478
50,0,125.203,120.711,-66.8942,1041.7,402.332,772.482
51,0,125.202,120.71,-66.9006,1041.71,402.331,772.479
52,0,125.195,120.716,-66.8884,1041.7,402.335,772.482
53,0,125.21,120.708,-66.9012,1041.7,402.333,772.483
54,0,125.206,120.713,-66.8912,1041.7,402.337,772.482
55,0,125.2,120.714,-66.8968,1041.7,402.337,772.482
56,0,125.2,120.714,-66.8909,1041.71,402.33,772.472
57,0,125.2,120.711,-66.896,1041.7,402.335,772.484
58,0,125.19,120.716,-66.89,1041.71,402.309,772.47
59,0,125.201,120.709,-66.9048,1041.71,402.327,772.483
60,0,125.216,120.707,-66.9022,1041.7,402.34,772.483
61,0,125.209,120.713,-66.8916,1041.71,402.329,772.47
62,0,125.205,120.712,-66.8911,1041.71,402.334,772.473
63,0,125.211,120.712,-66.8901,1041.7,402.332,772.472
64,0,125.227,120.712,-66.8853,1041.7,402.341,772.466
65,0,125.206,120.713,-66.8913,1041.69,402.33,772.472
66,0,125.206,120.722,-66.8814,1041.7,402.325,772.466
67,0,125.197,120.718,-66.8852,1041.7,402.318,772.47
68,0,125.197,120.72,-66.8801,1041.7,402.325,772.467
69,0,125.197,120.718,-66.8853,1041.7,402.32,772.47
70,0,125.196,120.719,-66.8919,1041.71,402.305,772.467
71,0,125.192,120.716,-66.8927,1041.7,402.311,772.476
72,0,125.191,120.72,-66.8885,1041.71,402.307,772.469
73,0,125.199,120.714,-66.8989,1041.71,402.31,772.469
74,0,125.193,120.715,-66.8955,1041.72,402.303,772.467
75,0,125.194,120.717,-66.8906,1041.71,402.315,772.474
76,0,125.197,120.723,-66.8769,1041.71,402.312,772.461
77,0,125.19,120.717,-66.886,1041.71,402.314,772.47
78,0,125.187,120.719,-66.885,1041.71,402.308,772.465
79,0,125.198,120.714,-66.8947,1041.7,402.316,772.474
80,0,125.193,120.714,-66.8914,1041.7,402.316,772.475
81,0,125.198,120.721,-66.8898,1041.71,402.313,772.474
82,0,125.192,120.719,-66.89,1041.7,402.316,772.476
83,0,125.193,120.712,-66.898,1041.7,402.324,772.485
84,0,125.202,120.718,-66.8879,1041.7,402.324,772.48
85,0,125.199,120.712,-66.8937,1041.7,402.323,772.478
86,0,125.199,120.713,-66.8953,1041.71,402.318,772.473
87,0,125.199,120.713,-66.8953,1041.71,402.318,772.473
88,0,125.188,120.715,-66.8977,1041.7,402.313,772.476
89,0,125.191,120.714,-66.8962,1041.7,402.315,772.477
90,0,125.198,120.717,-66.8898,1041.71,402.318,772.469
91,0,125.197,120.711,-66.8916,1041.69,402.324,772.471
92,0,125.194,120.714,-66.8881,1041.69,402.324,772.471
93,0,125.196,120.717,-66.8881,1041.71,402.318,772.466
94,0,125.196,120.716,-66.8915,1041.7,402.322,772.471
95,0,125.196,120.716,-66.8915,1041.7,402.322,772.471
96,0,125.207,120.714,-66.8895,1041.7,402.327,772.467
97,0,125.206,120.715,-66.891,1041.7,402.325,772.475
98,0,125.194,120.713,-66.8965,1041.7,402.322,772.48
99,0,125.2,120.713,-66.8957,1041.7,402.318,772.477
100,0,125.201,120.713,-66.8987,1041.71,402.32,772.477
101,0,125.198,120.715,-66.8925,1041.71,402.315,772.47
102,0,125.195,120.717,-66.8933,1041.71,402.311,772.472
103,0,125.189,120.715,-66.896,1041.71,402.313,772.474
104,0,125.193,120.715,-66.8938,1041.71,402.319,772.471
105,0,125.194,120.717,-66.8873,1041.7,402.323,772.47
106,0,125.197,120.718,-66.886,1041.71,402.323,772.468
107,0,125.186,120.718,-66.8899,1041.71,402.312,772.47
108,0,125.193,120.717,-66.8922,1041.71,402.315,772.469
109,0,125.187,120.713,-66.9053,1041.71,402.314,772.483
110,0,125.195,120.716,-66.8921,1041.7,402.314,772.482
111,0,125.199,120.718,-66.8907,1041.7,402.315,772.479
112,0,125.2,120.715,-66.8976,1041.71,402.315,772.48
113,0,125.193,120.717,-66.8917,1041.71,402.317,772.475
114,0,125.2,120.714,-66.8914,1041.71,402.319,772.473
115,0,125.2,120.713,-66.8877,1041.7,402.322,772.469
116,0,125.208,120.711,-66.8904,1041.7,402.327,772.467
117,0,125.213,120.709,-66.8935,1041.7,402.333,772.469
118,0,125.213,120.71,-66.8879,1041.69,402.334,772.467
119,0,125.207,120.706,-66.892,1041.69,402.334,772.472
120,0,125.206,120.711,-66.8856,1041.7,402.326,772.468
121,0,125.208,120.706,-66.898,1041.69,402.333,772.47
122,0,125.224,120.71,-66.8895,1041.69,402.336,772.469
123,0,125.205,120.712,-66.8977,1041.7,402.321,772.465
124,0,125.186,120.708,-66.9045,1041.7,402.313,772.478
125,0,125.202,120.713,-66.9037,1041.69,402.316,772.471
126,0,125.208,120.707,-66.9005,1041.69,402.326,772.476
127,0,125.197,120.711,-66.8973,1041.69,402.32,772.475
128,0,125.197,120.711,-66.8973,1041.69,402.32,772.475
129,0,125.195,120.713,-66.8931,1041.7,402.319,772.466
130,0,125.194,120.706,-66.9063,1041.7,402.314,772.473
131,0,125.2,120.71,-66.8976,1041.69,402.32,772.472
132,0,125.203,120.707,-66.9009,1041.69,402.322,772.475
133,0,125.2,120.714,-66.891,1041.7,402.322,772.47
134,0,125.201,120.706,-66.8999,1041.69,402.321,772.474
135,0,125.197,120.712,-66.8996,1041.71,402.311,772.465
136,0,125.188,120.713,-66.901,1041.7,402.316,772.471
137,0,125.204,120.705,-66.9057,1041.7,402.33,772.47
138,0,125.198,120.714,-66.8953,1041.7,402.326,772.47
139,0,125.192,120.709,-66.8994,1041.7,402.322,772.468
140,0,125.199,120.714,-66.894,1041.7,402.323,772.467
141,0,125.205,120.717,-66.8849,1041.69,402.316,772.462
142,0,125.196,120.715,-66.8867,1041.7,402.327,772.471
143,0,125.193,120.716,-66.8869,1041.71,402.319,772.467
144,0,125.2,120.72,-66.8802,1041.7,402.319,772.466
