Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,-69.7497,112.014,-56.3448,462.168,327.572,845.235
2,0,-69.7658,112.039,-56.3215,462.158,327.566,845.213
3,0,-69.7514,112.015,-56.3443,462.161,327.57,845.237
4,0,-69.756,112.026,-56.3316,462.151,327.568,845.229
5,0,-69.7623,112.029,-56.3208,462.165,327.581,845.22
6,0,-69.7704,112.034,-56.3145,462.152,327.578,845.216
7,0,-69.7726,112.041,-56.2994,462.15,327.576,845.208
8,0,-69.7769,112.041,-56.2935,462.146,327.585,845.211
9,0,-69.7761,112.048,-56.2948,462.147,327.577,845.207
10,0,-69.785,112.058,-56.2849,462.133,327.57,845.207
11,0,-69.7902,112.059,-56.2835,462.142,327.579,845.198
12,0,-69.7844,112.044,-56.2817,462.145,327.581,845.203
13,0,-69.7836,112.054,-56.292,462.158,327.58,845.191
14,0,-69.7886,112.044,-56.2815,462.158,327.585,845.194
15,0,-69.7875,112.047,-56.2829,462.156,327.582,845.193
16,0,-69.7857,112.036,-56.2795,462.159,327.599,845.2
17,0,-69.8,112.036,-56.254,462.105,327.586,845.207
18,0,-69.8049,112.027,-56.2591,462.088,327.585,845.201
19,0,-69.7987,112.03,-56.2654,462.094,327.589,845.213
20,0,-69.8023,112.032,-56.2563,462.083,327.58,845.214
21,0,-70.343,112.562,-55.5976,461.667,327.852,844.514
22,0,-69.793,112.007,-56.2648,462.077,327.566,845.221
23,0,-70.3361,112.568,-55.5959,461.647,327.825,844.499
24,0,-70.3199,112.29,-55.9256,461.771,327.717,844.774
25,0,-70.328,112.311,-55.9328,461.801,327.722,844.731
26,0,-70.3308,112.602,-55.6081,461.733,327.83,844.477
27,0,-70.3189,112.356,-55.8887,461.875,327.715,844.748
28,0,-70.3035,112.61,-55.624,461.74,327.829,844.529
29,0,-70.2913,112.601,-55.6113,461.739,327.837,844.559
30,0,-70.2771,112.614,-55.6083,461.752,327.817,844.556
31,0,-70.2573,112.622,-55.613,461.746,327.81,844.579
32,0,-70.2383,112.632,-55.6143,461.753,327.788,844.579
33,0,-70.2445,112.63,-55.6041,461.775,327.816,844.583
34,0,-70.3013,112.523,-55.482,461.889,327.93,844.58
35,0,-70.3075,112.348,-55.6939,461.995,327.831,844.771
36,0,-70.2912,112.517,-55.4866,461.903,327.926,844.601
37,0,-70.2904,112.521,-55.4901,461.898,327.923,844.605
38,0,-70.3117,112.343,-55.692,462,327.836,844.767
39,0,-70.2916,112.522,-55.4961,461.903,327.926,844.596
40,0,-70.3058,112.354,-55.6983,462.002,327.831,844.765
41,0,-70.2941,112.511,-55.49,461.899,327.943,844.604
42,0,-70.2996,112.507,-55.486,461.914,327.943,844.596
43,0,-70.298,112.503,-55.4823,461.911,327.943,844.601
44,0,-70.3177,112.351,-55.6905,462.002,327.82,844.754
45,0,-70.2954,112.527,-55.5042,461.906,327.913,844.582
46,0,-70.2917,112.514,-55.494,461.908,327.932,844.604
47,0,-70.3013,112.508,-55.4857,461.907,327.934,844.595
48,0,-70.2955,112.527,-55.4864,461.922,327.91,844.577
49,0,-70.298,112.514,-55.4883,461.9,327.922,844.595
50,0,-70.3167,112.327,-55.6978,461.999,327.842,844.787
51,0,-70.312,112.33,-55.698,462.006,327.838,844.774
52,0,-70.2982,112.521,-55.4921,461.912,327.933,844.591
53,0,-70.1216,112.123,-55.9588,462.083,327.798,844.889
54,0,-70.2982,112.508,-55.4911,461.903,327.941,844.598
55,0,-70.2989,112.515,-55.4864,461.92,327.931,844.585
56,0,-70.2908,112.516,-55.4914,461.899,327.913,844.589
57,0,-70.3171,112.34,-55.7033,462.013,327.83,844.773
58,0,-70.2944,112.516,-55.4969,461.903,327.914,844.599
59,0,-70.2902,112.518,-55.4943,461.894,327.904,844.605
60,0,-70.2953,112.512,-55.4796,461.902,327.907,844.589
61,0,-70.3016,112.516,-55.4812,461.912,327.907,844.578
62,0,-70.2973,112.516,-55.4793,461.896,327.906,844.583
63,0,-70.3006,112.352,-55.6998,461.995,327.805,844.761
64,0,-70.3069,112.346,-55.6968,461.99,327.816,844.765
65,0,-70.2918,112.517,-55.4849,461.902,327.906,844.583
66,0,-70.2914,112.514,-55.4867,461.899,327.909,844.59
67,0,-70.2922,112.516,-55.4836,461.895,327.917,844.602
68,0,-70.3108,112.347,-55.6875,461.998,327.826,844.766
69,0,-70.2836,112.527,-55.5039,461.892,327.9,844.602
70,0,-70.2913,112.515,-55.4932,461.887,327.916,844.604
71,0,-70.291,112.506,-55.49,461.887,327.929,844.619
72,0,-70.2917,112.513,-55.4879,461.897,327.924,844.608
73,0,-70.2159,112.411,-55.6051,461.937,327.904,844.67
74,0,-70.2961,112.509,-55.4785,461.902,327.933,844.591
75,0,-70.2945,112.511,-55.4758,461.902,327.945,844.598
76,0,-70.2215,112.429,-55.5973,461.941,327.915,844.653
77,0,-70.2951,112.518,-55.4629,461.907,327.933,844.576
78,0,-70.2943,112.524,-55.4689,461.896,327.927,844.582
79,0,-70.2213,112.451,-55.5848,461.933,327.905,844.633
80,0,-70.2894,112.538,-55.4748,461.897,327.93,844.572
81,0,-70.2901,112.538,-55.4674,461.88,327.93,844.574
82,0,-70.3037,112.355,-55.6904,461.994,327.827,844.762
83,0,-70.2943,112.502,-55.4801,461.896,327.932,844.598
84,0,-70.1043,112.137,-55.9664,462.072,327.8,844.89
85,0,-70.3107,112.332,-55.6915,461.99,327.847,844.778
86,0,-70.3071,112.354,-55.705,462.002,327.823,844.758
87,0,-70.3,112.519,-55.4803,461.931,327.935,844.572
88,0,-70.2137,112.418,-55.6089,461.97,327.902,844.652
89,0,-70.2982,112.52,-55.4833,461.916,327.936,844.585
90,0,-70.3077,112.344,-55.6836,462.016,327.839,844.761
91,0,-70.311,112.347,-55.6933,462.008,327.836,844.758
92,0,-70.3097,112.348,-55.6948,462,327.833,844.766
93,0,-70.2977,112.517,-55.4884,461.904,327.924,844.585
94,0,-70.2901,112.524,-55.5004,461.89,327.917,844.6
95,0,-70.2917,112.523,-55.4937,461.906,327.918,844.586
96,0,-70.3005,112.355,-55.7041,462,327.816,844.77
97,0,-70.2963,112.509,-55.4835,461.902,327.921,844.589
98,0,-70.2908,112.518,-55.4916,461.896,327.915,844.587
99,0,-70.2142,112.405,-55.6111,461.94,327.896,844.665
100,0,-70.2966,112.524,-55.4981,461.9,327.929,844.59
101,0,-70.3043,112.356,-55.7006,462.009,327.829,844.756
102,0,-70.2971,112.513,-55.498,461.893,327.93,844.601
103,0,-70.2961,112.503,-55.4841,461.897,327.933,844.608
104,0,-70.3088,112.351,-55.7022,461.995,327.838,844.77
