Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,155.055,115.352,-84.8676,1132.97,419.58,821.24
2,0,155.092,115.368,-84.7739,1132.87,419.579,821.12
3,0,155.085,115.401,-84.766,1132.91,419.479,821.146
4,0,155.079,115.409,-84.7766,1132.91,419.487,821.15
5,0,155.074,115.383,-84.7906,1132.95,419.509,821.163
6,0,155.087,115.414,-84.7733,1132.92,419.498,821.138
7,0,155.096,115.415,-84.7722,1132.93,419.507,821.135
8,0,155.071,115.414,-84.8287,1132.98,419.52,821.185
9,0,155.077,115.383,-84.8143,1132.98,419.512,821.184
10,0,155.073,115.406,-84.8338,1132.99,419.517,821.193
11,0,155.072,115.412,-84.8362,1132.98,419.517,821.19
12,0,155.075,115.416,-84.8364,1132.97,419.518,821.187
13,0,155.086,115.423,-84.8094,1132.94,419.518,821.155
14,0,155.085,115.408,-84.8187,1132.95,419.529,821.161
15,0,155.099,115.407,-84.7882,1132.92,419.525,821.135
16,0,155.101,115.402,-84.7738,1132.9,419.526,821.116
17,0,155.095,115.418,-84.7829,1132.91,419.518,821.13
18,0,155.08,115.423,-84.8118,1132.93,419.534,821.148
19,0,155.075,115.386,-84.8277,1132.99,419.52,821.205
20,0,155.087,115.403,-84.8138,1132.96,419.54,821.162
21,0,155.093,115.401,-84.8069,1132.96,419.533,821.162
22,0,155.096,115.419,-84.8017,1132.94,419.535,821.136
23,0,155.079,115.404,-84.8383,1132.99,419.533,821.188
24,0,155.084,115.417,-84.823,1132.97,419.521,821.172
25,0,155.082,115.413,-84.8282,1132.97,419.522,821.176
26,0,155.095,115.403,-84.7894,1132.93,419.521,821.133
27,0,155.092,115.4,-84.804,1132.94,419.521,821.156
28,0,155.092,115.403,-84.7923,1132.93,419.516,821.142
29,0,155.07,115.408,-84.8455,1132.98,419.527,821.207
30,0,155.088,115.399,-84.7983,1132.94,419.536,821.14
31,0,155.097,115.403,-84.7787,1132.91,419.528,821.122
32,0,155.096,115.398,-84.7766,1132.93,419.524,821.127
33,0,155.096,115.421,-84.7943,1132.94,419.526,821.141
34,0,155.09,115.412,-84.8172,1132.97,419.538,821.163
35,0,155.093,115.414,-84.8065,1132.96,419.52,821.161
36,0,155.077,115.409,-84.8456,1132.99,419.53,821.191
37,0,155.074,115.417,-84.8509,1132.99,419.53,821.197
38,0,155.073,115.418,-84.8434,1132.98,419.526,821.192
39,0,155.088,115.409,-84.8144,1132.96,419.516,821.171
40,0,155.091,115.413,-84.8044,1132.95,419.524,821.16
41,0,155.096,115.389,-84.7653,1132.91,419.528,821.112
42,0,155.086,115.378,-84.7901,1132.95,419.537,821.141
43,0,155.085,115.396,-84.7967,1132.95,419.542,821.139
44,0,155.105,115.348,-84.7319,1132.93,419.522,821.109
45,0,155.099,115.401,-84.7777,1132.93,419.531,821.128
46,0,155.095,115.414,-84.7874,1132.94,419.522,821.137
47,0,155.086,115.376,-84.8056,1132.97,419.525,821.168
48,0,155.07,115.419,-84.8668,1133.02,419.514,821.243
