Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,-90.666,51.9034,41.3558,870.912,-237.114,759.671
2,0,-90.7942,51.9798,41.2214,870.81,-236.969,759.565
3,0,-90.7308,51.8479,41.4156,870.536,-236.724,759.541
4,0,-90.7291,51.8392,41.4187,870.522,-236.715,759.555
5,0,-90.7154,51.8366,41.4201,870.551,-236.736,759.564
6,0,-90.7157,51.8387,41.4131,870.561,-236.725,759.562
7,0,-90.7117,51.8461,41.4079,870.575,-236.733,759.56
8,0,-90.7126,51.8386,41.414,870.569,-236.705,759.558
9,0,-90.6916,51.8477,41.4053,870.629,-236.745,759.569
10,0,-90.7039,51.8296,41.421,870.569,-236.686,759.559
11,0,-90.7037,51.8254,41.4201,870.572,-236.685,759.565
12,0,-90.6933,51.8385,41.4114,870.616,-236.714,759.57
13,0,-90.7069,51.8239,41.4162,870.569,-236.662,759.563
14,0,-90.7051,51.8271,41.4107,870.581,-236.676,759.567
15,0,-90.6985,51.8207,41.4214,870.57,-236.663,759.564
16,0,-90.6946,51.8204,41.4243,870.556,-236.668,759.563
17,0,-90.7043,51.8158,41.4239,870.543,-236.64,759.559
18,0,-90.6908,51.8132,41.4257,870.544,-236.656,759.569
19,0,-90.695,51.8176,41.4228,870.539,-236.652,759.565
20,0,-90.7091,51.8231,41.4159,870.535,-236.638,759.553
21,0,-90.7001,51.8214,41.4191,870.542,-236.658,759.556
22,0,-90.6886,51.8229,41.4168,870.574,-236.681,759.573
23,0,-90.6964,51.8171,41.4263,870.54,-236.649,759.557
24,0,-90.7051,51.812,41.4241,870.528,-236.625,759.561
25,0,-90.6991,51.8135,41.4223,870.542,-236.647,759.563
26,0,-90.7019,51.819,41.4248,870.551,-236.638,759.554
27,0,-90.6977,51.8171,41.4312,870.564,-236.656,759.552
28,0,-90.6904,51.8141,41.4338,870.568,-236.659,759.558
29,0,-90.6926,51.8172,41.4282,870.566,-236.661,759.556
30,0,-90.6841,51.8232,41.428,870.603,-236.677,759.561
31,0,-90.7007,51.8219,41.4225,870.56,-236.651,759.551
32,0,-90.6978,51.8286,41.4185,870.593,-236.68,759.557
33,0,-90.6871,51.8257,41.4202,870.583,-236.68,759.569
34,0,-90.6974,51.8356,41.4089,870.577,-236.668,759.553
35,0,-90.6846,51.8263,41.419,870.576,-236.692,759.572
36,0,-90.6818,51.83,41.4175,870.591,-236.699,759.571
37,0,-90.6998,51.8257,41.4156,870.537,-236.649,759.555
38,0,-90.701,51.8151,41.4256,870.551,-236.677,759.564
39,0,-90.7065,51.8199,41.4241,870.551,-236.647,759.547
40,0,-90.6963,51.8254,41.4186,870.567,-236.667,759.561
41,0,-90.7048,51.8133,41.4247,870.553,-236.642,759.566
42,0,-90.7031,51.8312,41.4172,870.576,-236.662,759.551
43,0,-90.6924,51.824,41.4209,870.577,-236.671,759.556
44,0,-90.7057,51.8327,41.4123,870.568,-236.651,759.543
45,0,-90.6935,51.8204,41.4305,870.559,-236.642,759.56
46,0,-90.6984,51.8322,41.4151,870.595,-236.632,759.552
47,0,-90.7126,51.8283,41.4148,870.557,-236.607,759.546
48,0,-90.7064,51.8257,41.4218,870.568,-236.624,759.551
49,0,-90.7032,51.823,41.426,870.574,-236.628,759.552
50,0,-90.6972,51.8219,41.424,870.576,-236.65,759.558
51,0,-90.7051,51.8289,41.4101,870.565,-236.663,759.555
52,0,-90.6953,51.83,41.4083,870.571,-236.691,759.564
53,0,-90.7016,51.8253,41.4129,870.554,-236.652,759.557
54,0,-90.6797,51.8133,41.4197,870.554,-236.702,759.579
55,0,-90.6882,51.8173,41.4197,870.552,-236.681,759.555
