Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,192.642,-84.1911,32.7121,635.718,-5.75341,802.57
2,0,192.65,-84.1937,32.7151,635.705,-5.74965,802.586
3,0,192.659,-84.1861,32.7013,635.696,-5.73979,802.594
4,0,192.657,-84.1785,32.7291,635.684,-5.74263,802.612
5,0,192.655,-84.1794,32.7421,635.674,-5.73485,802.624
6,0,192.662,-84.1849,32.7177,635.671,-5.73433,802.61
7,0,192.668,-84.1813,32.7164,635.671,-5.72734,802.614
8,0,192.656,-84.1869,32.7306,635.682,-5.72755,802.605
9,0,192.65,-84.1916,32.7382,635.684,-5.73628,802.604
10,0,192.658,-84.1902,32.7278,635.684,-5.72572,802.605
11,0,192.654,-84.1962,32.7163,635.695,-5.73617,802.588
12,0,192.652,-84.1935,32.7223,635.684,-5.71939,802.595
13,0,192.653,-84.1963,32.7425,635.669,-5.72492,802.606
14,0,192.662,-84.1839,32.7476,635.66,-5.71836,802.608
15,0,192.668,-84.1671,32.7549,635.649,-5.70194,802.626
16,0,192.675,-84.1565,32.7503,635.645,-5.6817,802.627
17,0,192.676,-84.1542,32.7482,635.65,-5.68643,802.629
18,0,192.673,-84.1557,32.7631,635.658,-5.71501,802.623
19,0,192.678,-84.1503,32.7608,635.664,-5.69021,802.633
20,0,192.673,-84.1627,32.7435,635.686,-5.71449,802.614
21,0,192.671,-84.1779,32.7266,635.701,-5.72483,802.599
22,0,192.663,-84.1801,32.7389,635.713,-5.73574,802.591
23,0,192.652,-84.2001,32.7236,635.721,-5.72827,802.582
24,0,192.654,-84.1982,32.7072,635.735,-5.72558,802.564
25,0,192.657,-84.1897,32.7146,635.729,-5.70964,802.569
26,0,192.655,-84.1774,32.7329,635.72,-5.70498,802.573
27,0,192.667,-84.1728,32.7224,635.702,-5.69518,802.594
28,0,192.668,-84.1733,32.7271,635.69,-5.69962,802.597
29,0,192.679,-84.1532,32.7441,635.675,-5.69169,802.611
30,0,192.666,-84.1693,32.7492,635.672,-5.69662,802.615
31,0,192.671,-84.1718,32.7437,635.659,-5.69947,802.625
32,0,192.676,-84.1553,32.7633,635.658,-5.70759,802.627
33,0,192.66,-84.1639,32.7678,635.658,-5.72463,802.628
34,0,192.654,-84.1835,32.7497,635.663,-5.73932,802.611
35,0,192.669,-84.174,32.7443,635.658,-5.72338,802.628
36,0,192.656,-84.187,32.7429,635.66,-5.73207,802.617
37,0,192.661,-84.1896,32.7493,635.678,-5.73315,802.618
38,0,192.665,-84.1762,32.7415,635.678,-5.71595,802.611
39,0,192.671,-84.1768,32.7334,635.682,-5.69902,802.618
40,0,192.67,-84.1601,32.74,635.693,-5.69009,802.602
41,0,192.675,-84.1626,32.7321,635.695,-5.67933,802.605
42,0,192.671,-84.1574,32.7302,635.711,-5.68045,802.582
43,0,192.677,-84.1477,32.7367,635.718,-5.69454,802.581
44,0,192.666,-84.163,32.7333,635.719,-5.69472,802.578
45,0,192.666,-84.1657,32.7368,635.722,-5.70045,802.581
46,0,192.673,-84.1657,32.7313,635.711,-5.69696,802.598
47,0,192.671,-84.1757,32.7212,635.719,-5.72094,802.594
48,0,192.665,-84.1716,32.7345,635.712,-5.72814,802.591
49,0,192.664,-84.176,32.7277,635.712,-5.73466,802.581
50,0,192.663,-84.1682,32.7444,635.693,-5.72722,802.595
51,0,192.662,-84.1781,32.731,635.68,-5.71804,802.599
52,0,192.662,-84.1764,32.7353,635.663,-5.71248,802.601
53,0,192.662,-84.1659,32.7445,635.655,-5.70931,802.608
54,0,192.668,-84.1623,32.7525,635.643,-5.69769,802.619
55,0,192.668,-84.1501,32.766,635.625,-5.6847,802.633
56,0,192.668,-84.1527,32.7605,635.622,-5.66972,802.634
57,0,192.675,-84.1697,32.735,635.629,-5.7005,802.627
58,0,192.668,-84.1621,32.7544,635.635,-5.69912,802.623
59,0,192.666,-84.1646,32.7566,635.638,-5.70767,802.62
60,0,192.66,-84.1614,32.7598,635.651,-5.70598,802.617
61,0,192.668,-84.1581,32.7436,635.661,-5.71573,802.6
62,0,192.668,-84.1575,32.7407,635.674,-5.70612,802.603
63,0,192.668,-84.1553,32.7404,635.683,-5.71355,802.603
64,0,192.661,-84.1672,32.7515,635.688,-5.73901,802.603
65,0,192.676,-84.1649,32.7095,635.69,-5.72055,802.588
66,0,192.663,-84.1755,32.7209,635.704,-5.70905,802.582
67,0,192.652,-84.1729,32.7414,635.699,-5.7056,802.587
68,0,192.654,-84.177,32.7414,635.693,-5.71583,802.587
69,0,192.668,-84.1665,32.7275,635.688,-5.69251,802.595
70,0,192.659,-84.1698,32.7396,635.684,-5.69173,802.588
71,0,192.662,-84.1545,32.7491,635.681,-5.6902,802.589
72,0,192.672,-84.1532,32.7432,635.676,-5.68737,802.601
73,0,192.671,-84.1514,32.7476,635.671,-5.69117,802.599
74,0,192.675,-84.1455,32.7513,635.663,-5.69319,802.607
75,0,192.661,-84.1703,32.737,635.671,-5.715,802.597
76,0,192.659,-84.1881,32.7287,635.673,-5.74009,802.596
77,0,192.66,-84.1847,32.7293,635.666,-5.73224,802.603
78,0,192.658,-84.183,32.7423,635.662,-5.73174,802.601
79,0,192.651,-84.1824,32.7413,635.655,-5.74013,802.6
80,0,192.662,-84.173,32.7337,635.659,-5.70582,802.601
81,0,192.661,-84.164,32.7536,635.652,-5.69162,802.615
82,0,192.668,-84.1561,32.7465,635.638,-5.67796,802.621
83,0,192.681,-84.1509,32.7193,635.641,-5.67544,802.609
84,0,192.657,-84.1604,32.756,635.658,-5.68727,802.604
85,0,192.668,-84.1641,32.7313,635.66,-5.69267,802.599
