Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,5.68791,187.291,-59.8431,817.328,391.463,804.477
2,0,5.67751,187.292,-59.8482,817.343,391.472,804.486
3,0,5.67895,187.29,-59.851,817.348,391.475,804.494
4,0,5.67877,187.292,-59.8549,817.355,391.473,804.494
5,0,5.67229,187.291,-59.8468,817.358,391.472,804.488
6,0,5.67168,187.291,-59.849,817.356,391.465,804.479
7,0,5.68264,187.286,-59.8402,817.348,391.458,804.466
8,0,5.68593,187.281,-59.8422,817.341,391.447,804.457
9,0,5.69342,187.283,-59.8273,817.319,391.441,804.437
10,0,5.69078,187.279,-59.8183,817.307,391.436,804.424
11,0,5.70716,187.273,-59.8178,817.29,391.423,804.413
12,0,5.70719,187.271,-59.8135,817.279,391.42,804.402
13,0,5.70747,187.268,-59.8064,817.275,391.421,804.392
14,0,5.71615,187.268,-59.8082,817.27,391.417,804.392
15,0,5.7058,187.269,-59.8058,817.273,391.423,804.399
16,0,5.71656,187.267,-59.8163,817.282,391.432,804.401
17,0,5.70202,187.268,-59.8148,817.304,391.44,804.407
18,0,5.69633,187.273,-59.8191,817.321,391.448,804.42
19,0,5.69667,187.275,-59.8313,817.336,391.453,804.434
20,0,5.68558,187.279,-59.8372,817.358,391.463,804.445
21,0,5.67518,187.281,-59.8332,817.374,391.469,804.447
22,0,5.68179,187.278,-59.8437,817.38,391.467,804.458
23,0,5.67803,187.28,-59.8426,817.382,391.471,804.457
24,0,5.67813,187.278,-59.8451,817.377,391.467,804.46
25,0,5.67622,187.279,-59.8372,817.368,391.464,804.451
26,0,5.68566,187.279,-59.8302,817.351,391.46,804.437
27,0,5.69012,187.275,-59.8287,817.337,391.452,804.431
28,0,5.69381,187.277,-59.8193,817.315,391.443,804.419
29,0,5.70549,187.273,-59.8238,817.295,391.434,804.412
30,0,5.69953,187.27,-59.8108,817.294,391.424,804.399
31,0,5.7073,187.271,-59.8119,817.277,391.418,804.396
32,0,5.70626,187.268,-59.8029,817.279,391.412,804.388
33,0,5.70888,187.267,-59.8104,817.276,391.412,804.386
34,0,5.70032,187.269,-59.8059,817.286,391.417,804.387
35,0,5.70194,187.27,-59.812,817.29,391.419,804.395
36,0,5.69774,187.274,-59.8108,817.3,391.429,804.399
37,0,5.69539,187.272,-59.8208,817.316,391.436,804.413
38,0,5.68986,187.276,-59.8212,817.324,391.443,804.418
39,0,5.68786,187.275,-59.8284,817.334,391.445,804.427
40,0,5.68975,187.278,-59.8267,817.335,391.454,804.431
41,0,5.69393,187.275,-59.8313,817.34,391.454,804.437
42,0,5.68987,187.273,-59.8344,817.348,391.452,804.437
43,0,5.68688,187.279,-59.8255,817.348,391.453,804.429
44,0,5.68528,187.278,-59.8289,817.344,391.453,804.435
45,0,5.69095,187.277,-59.8321,817.339,391.452,804.433
46,0,5.68729,187.282,-59.824,817.332,391.45,804.425
47,0,5.68541,187.28,-59.8183,817.325,391.449,804.421
48,0,5.69004,187.272,-59.8275,817.321,391.44,804.422
49,0,5.68815,187.275,-59.8159,817.31,391.435,804.411
50,0,5.69079,187.271,-59.8149,817.3,391.428,804.403
51,0,5.69889,187.269,-59.8143,817.291,391.417,804.397
52,0,5.69764,187.272,-59.8089,817.284,391.413,804.391
53,0,5.70118,187.268,-59.8084,817.281,391.408,804.387
54,0,5.70124,187.273,-59.8025,817.274,391.406,804.383
55,0,5.70168,187.271,-59.8037,817.271,391.412,804.383
56,0,5.70986,187.267,-59.8124,817.278,391.412,804.389
57,0,5.70171,187.268,-59.8093,817.291,391.422,804.39
58,0,5.70593,187.271,-59.8128,817.294,391.432,804.398
59,0,5.69364,187.277,-59.8116,817.315,391.44,804.401
60,0,5.69092,187.277,-59.822,817.323,391.444,804.418
61,0,5.69152,187.278,-59.8264,817.335,391.453,804.426
62,0,5.68699,187.277,-59.8341,817.345,391.458,804.436
63,0,5.68508,187.282,-59.834,817.351,391.46,804.44
64,0,5.68169,187.284,-59.8343,817.353,391.461,804.445
65,0,5.68125,187.278,-59.8325,817.347,391.458,804.436
66,0,5.68469,187.279,-59.8331,817.337,391.453,804.437
67,0,5.68066,187.279,-59.821,817.327,391.442,804.422
68,0,5.69843,187.278,-59.823,817.307,391.433,804.409
69,0,5.69276,187.274,-59.8112,817.302,391.424,804.397
70,0,5.70071,187.271,-59.8052,817.283,391.416,804.383
71,0,5.70681,187.269,-59.804,817.272,391.404,804.38
72,0,5.70791,187.27,-59.799,817.266,391.394,804.373
73,0,5.71058,187.268,-59.7972,817.264,391.396,804.372
74,0,5.71258,187.27,-59.8024,817.265,391.393,804.375
75,0,5.70741,187.273,-59.798,817.276,391.399,804.378
76,0,5.70355,187.275,-59.8036,817.286,391.414,804.383
77,0,5.69833,187.271,-59.8121,817.301,391.423,804.394
78,0,5.70087,187.277,-59.8187,817.311,391.431,804.407
79,0,5.68973,187.273,-59.8226,817.334,391.439,804.419
80,0,5.68781,187.275,-59.8295,817.342,391.446,804.428
81,0,5.68814,187.28,-59.8348,817.348,391.45,804.436
82,0,5.68383,187.281,-59.8337,817.35,391.45,804.439
83,0,5.68753,187.28,-59.8336,817.351,391.443,804.435
84,0,5.69201,187.278,-59.8306,817.348,391.432,804.426
85,0,5.68621,187.274,-59.8219,817.349,391.417,804.411
86,0,5.68425,187.275,-59.8075,817.341,391.406,804.39
87,0,5.6944,187.273,-59.8048,817.331,391.396,804.377
88,0,5.69117,187.275,-59.7956,817.315,391.394,804.365
89,0,5.69236,187.277,-59.7909,817.299,391.403,804.367
90,0,5.70028,187.278,-59.8057,817.28,391.411,804.379
91,0,5.69838,187.273,-59.8064,817.269,391.424,804.394
92,0,5.70656,187.271,-59.8189,817.259,391.436,804.406
93,0,5.70326,187.269,-59.8114,817.251,391.449,804.41
94,0,5.70541,187.27,-59.8144,817.249,391.444,804.414
95,0,5.71525,187.271,-59.8157,817.248,391.442,804.403
96,0,5.7002,187.274,-59.8063,817.273,391.432,804.393
97,0,5.70486,187.278,-59.8079,817.284,391.422,804.391
98,0,5.69731,187.275,-59.806,817.314,391.413,804.381
99,0,5.68641,187.277,-59.8049,817.338,391.406,804.383
100,0,5.67432,187.277,-59.8062,817.358,391.406,804.391
101,0,5.67006,187.28,-59.8141,817.362,391.415,804.403
102,0,5.67671,187.279,-59.8234,817.357,391.42,804.417
103,0,5.67526,187.279,-59.8269,817.348,391.427,804.422
104,0,5.678,187.28,-59.8278,817.326,391.439,804.423
105,0,5.68854,187.277,-59.8213,817.312,391.434,804.411
106,0,5.69165,187.275,-59.8132,817.292,391.432,804.399
107,0,5.70106,187.275,-59.804,817.268,391.432,804.391
108,0,5.71065,187.273,-59.8039,817.252,391.423,804.387
109,0,5.70663,187.272,-59.7933,817.246,391.424,804.376
110,0,5.70733,187.276,-59.792,817.24,391.424,804.379
111,0,5.71287,187.272,-59.8031,817.247,391.418,804.383
112,0,5.70595,187.274,-59.8022,817.264,391.413,804.388
113,0,5.70099,187.273,-59.8058,817.284,391.411,804.389
114,0,5.69299,187.277,-59.8032,817.305,391.413,804.383
115,0,5.68404,187.275,-59.8103,817.333,391.41,804.392
116,0,5.66934,187.281,-59.8092,817.351,391.409,804.392
117,0,5.67236,187.278,-59.8162,817.358,391.408,804.4
118,0,5.67179,187.285,-59.8175,817.345,391.419,804.404
119,0,5.67333,187.281,-59.8205,817.338,391.426,804.41
120,0,5.68578,187.281,-59.8172,817.312,391.438,804.41
121,0,5.69558,187.278,-59.8124,817.289,391.441,804.405
122,0,5.70603,187.274,-59.8128,817.268,391.435,804.397
123,0,5.7085,187.273,-59.8015,817.258,391.428,804.388
124,0,5.70624,187.275,-59.7923,817.253,391.426,804.378
125,0,5.71233,187.273,-59.7949,817.255,391.417,804.374
126,0,5.70442,187.273,-59.7979,817.267,391.413,804.375
127,0,5.70113,187.277,-59.8015,817.28,391.414,804.378
128,0,5.68965,187.277,-59.8057,817.307,391.414,804.386
129,0,5.68572,187.284,-59.8108,817.313,391.413,804.396
130,0,5.67201,187.284,-59.8125,817.329,391.413,804.399
131,0,5.67229,187.279,-59.8189,817.336,391.41,804.399
132,0,5.67619,187.279,-59.8181,817.336,391.405,804.398
133,0,5.67984,187.284,-59.8138,817.315,391.409,804.392
134,0,5.68938,187.276,-59.8063,817.301,391.411,804.383
135,0,5.69311,187.28,-59.8004,817.281,391.41,804.378
136,0,5.70555,187.277,-59.7977,817.263,391.412,804.377
137,0,5.71053,187.277,-59.7927,817.258,391.417,804.375
138,0,5.71163,187.279,-59.7903,817.247,391.422,804.373
139,0,5.71424,187.277,-59.7973,817.252,391.424,804.382
140,0,5.70193,187.274,-59.7985,817.277,391.42,804.383
141,0,5.6962,187.278,-59.803,817.285,391.429,804.388
