Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,-52.0626,196.504,-81.0122,971.101,416.762,819.196
2,0,-52.0583,196.5,-81.0151,971.102,416.757,819.197
3,0,-52.0601,196.501,-81.0115,971.105,416.761,819.199
4,0,-52.1287,196.48,-81,971.077,416.844,819.139
5,0,-52.0693,196.504,-81.0092,971.095,416.765,819.186
6,0,-52.078,196.505,-81.0061,971.095,416.767,819.187
7,0,-52.0858,196.516,-81.0118,971.087,416.766,819.178
8,0,-52.1029,196.495,-80.995,971.101,416.791,819.185
9,0,-52.0987,196.517,-81.0051,971.083,416.775,819.176
10,0,-52.1052,196.52,-81.0041,971.078,416.776,819.171
11,0,-52.1173,196.509,-80.991,971.086,416.788,819.176
12,0,-52.1115,196.523,-81.0049,971.074,416.775,819.17
13,0,-52.1109,196.529,-81.0082,971.068,416.771,819.164
14,0,-52.1507,196.527,-80.9977,971.051,416.803,819.133
15,0,-52.1119,196.537,-81.0074,971.066,416.763,819.166
16,0,-52.1183,196.53,-81.0003,971.07,416.767,819.164
17,0,-52.1229,196.521,-80.9899,971.075,416.776,819.167
18,0,-52.1211,196.538,-80.9938,971.058,416.774,819.159
19,0,-52.1134,196.531,-81.0037,971.068,416.766,819.164
20,0,-52.1507,196.528,-80.9992,971.054,416.808,819.134
21,0,-52.1497,196.529,-81.0006,971.053,416.809,819.13
22,0,-52.124,196.532,-80.9997,971.069,416.771,819.159
23,0,-52.118,196.527,-81.0067,971.077,416.772,819.16
24,0,-52.1231,196.532,-81.0072,971.072,416.769,819.16
25,0,-52.1268,196.538,-80.9974,971.066,416.769,819.155
26,0,-52.1521,196.531,-80.9961,971.054,416.807,819.129
27,0,-52.1154,196.538,-81.0074,971.065,416.761,819.162
28,0,-52.121,196.541,-81,971.06,416.768,819.155
29,0,-52.1152,196.535,-81.0019,971.063,416.766,819.164
30,0,-52.1239,196.521,-80.9928,971.072,416.781,819.17
31,0,-52.1157,196.537,-81.0056,971.06,416.77,819.163
32,0,-52.1483,196.53,-81.0083,971.047,416.81,819.133
33,0,-52.1193,196.536,-81.0113,971.064,416.772,819.163
34,0,-52.1178,196.529,-81.0094,971.073,416.776,819.163
35,0,-52.1251,196.526,-81.0004,971.075,416.777,819.16
36,0,-52.1297,196.516,-80.998,971.083,416.783,819.166
37,0,-52.1223,196.534,-81.0014,971.068,416.771,819.159
38,0,-52.1255,196.518,-80.9898,971.078,416.782,819.165
39,0,-52.1537,196.529,-80.9965,971.05,416.803,819.131
40,0,-52.1227,196.523,-80.9944,971.069,416.777,819.165
41,0,-52.1214,196.52,-80.9948,971.073,416.779,819.169
42,0,-52.1158,196.538,-81.0054,971.058,416.764,819.158
43,0,-52.1148,196.531,-81.0074,971.066,416.768,819.166
44,0,-52.123,196.534,-80.9996,971.07,416.771,819.167
45,0,-52.1166,196.536,-81.0078,971.074,416.766,819.167
46,0,-52.1162,196.534,-81.0017,971.071,416.768,819.167
47,0,-52.131,196.52,-80.9962,971.081,416.786,819.167
48,0,-52.1199,196.537,-81.0084,971.065,416.772,819.16
49,0,-52.152,196.527,-81.0057,971.051,416.812,819.131
50,0,-52.1212,196.532,-81.0055,971.066,416.77,819.163
51,0,-52.1244,196.52,-80.9932,971.071,416.784,819.163
52,0,-52.1193,196.534,-81.0025,971.061,416.767,819.159
53,0,-52.115,196.533,-81.0049,971.066,416.763,819.161
54,0,-52.115,196.533,-81.0049,971.066,416.763,819.161
55,0,-52.1193,196.537,-80.9993,971.068,416.768,819.156
56,0,-52.1508,196.531,-81.0019,971.056,416.803,819.13
57,0,-52.1542,196.524,-81.0022,971.06,416.814,819.133
58,0,-52.1537,196.526,-81.0038,971.063,416.81,819.136
59,0,-52.1249,196.532,-81.001,971.072,416.779,819.163
60,0,-52.1206,196.535,-81.0073,971.069,416.776,819.159
61,0,-52.1204,196.531,-81.0063,971.072,416.779,819.165
62,0,-52.1193,196.537,-81.0026,971.069,416.772,819.159
63,0,-52.1205,196.534,-80.9979,971.067,416.772,819.158
