Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,-3.35074,121.196,8.69436,373.899,189.236,662.393
2,0,-3.24319,122.27,9.0522,372.465,190.46,660.627
3,0,-3.23923,122.268,9.05051,372.47,190.462,660.629
4,0,-3.24218,122.273,9.05143,372.472,190.461,660.629
5,0,-3.25721,122.267,9.06972,372.486,190.47,660.62
6,0,-3.25936,122.274,9.0698,372.495,190.464,660.609
7,0,-3.25465,122.275,9.0816,372.506,190.475,660.609
8,0,-3.25763,122.282,9.08852,372.516,190.48,660.593
9,0,-3.32221,122.283,9.04284,372.521,190.407,660.563
10,0,-3.29621,122.28,9.08406,372.533,190.455,660.579
11,0,-3.29687,122.292,9.08527,372.545,190.454,660.572
12,0,-3.32111,122.214,9.07408,372.63,190.425,660.697
13,0,-3.32088,122.218,9.07173,372.629,190.424,660.694
14,0,-3.31515,122.274,9.09292,372.572,190.444,660.584
15,0,-3.31515,122.276,9.09581,372.568,190.452,660.587
16,0,-3.33808,122.268,9.05972,372.567,190.409,660.575
17,0,-3.31976,122.273,9.09455,372.57,190.445,660.584
18,0,-3.32041,122.215,9.07065,372.629,190.427,660.692
19,0,-3.3141,122.273,9.09194,372.573,190.445,660.581
20,0,-3.3251,122.218,9.07503,372.634,190.424,660.684
21,0,-3.31761,122.275,9.09649,372.574,190.451,660.581
22,0,-3.3088,122.277,9.09572,372.573,190.46,660.589
23,0,-3.31122,122.273,9.10667,372.579,190.465,660.588
24,0,-3.29618,122.276,9.09695,372.572,190.458,660.585
25,0,-3.31014,122.274,9.10126,372.568,190.463,660.579
26,0,-3.29565,122.284,9.10684,372.573,190.469,660.576
27,0,-3.30754,122.281,9.11831,372.562,190.478,660.578
28,0,-3.30156,122.282,9.12418,372.564,190.478,660.575
29,0,-3.28813,122.28,9.12204,372.563,190.485,660.576
30,0,-3.28139,122.285,9.12034,372.562,190.49,660.584
