Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,222.114,33.0223,-13.1239,874.919,-70.9397,814.599
2,0,222.116,33.0202,-13.1214,874.923,-70.9418,814.603
3,0,222.081,33.1257,-13.2594,874.706,-70.8662,814.593
4,0,222.082,33.1304,-13.247,874.693,-70.8783,814.596
5,0,222.077,33.1587,-13.2334,874.656,-70.875,814.609
6,0,222.081,33.1731,-13.2081,874.634,-70.8755,814.629
7,0,222.073,33.1984,-13.1986,874.598,-70.8707,814.622
8,0,222.067,33.2154,-13.1969,874.583,-70.875,814.617
9,0,222.065,33.2214,-13.1912,874.583,-70.8843,814.612
10,0,222.061,33.206,-13.1911,874.606,-70.8852,814.613
11,0,222.058,33.2034,-13.21,874.638,-70.9116,814.607
12,0,222.061,33.1842,-13.2167,874.685,-70.9199,814.609
13,0,222.056,33.1681,-13.2174,874.72,-70.9132,814.618
14,0,222.044,33.146,-13.2077,874.753,-70.884,814.639
15,0,222.219,32.9885,-13.3468,874.709,-70.7711,814.712
16,0,222.216,32.9903,-13.3706,874.698,-70.7359,814.702
17,0,222.202,32.9926,-13.3522,874.69,-70.7165,814.674
18,0,222.192,33.0019,-13.3637,874.668,-70.6913,814.657
19,0,222.193,33.01,-13.3483,874.648,-70.674,814.64
20,0,222.187,33.0352,-13.3586,874.626,-70.6793,814.633
21,0,222.199,33.0284,-13.323,874.618,-70.6921,814.653
22,0,222.194,33.058,-13.3133,874.611,-70.718,814.667
23,0,222.209,33.0501,-13.3151,874.602,-70.7167,814.69
24,0,222.219,33.0391,-13.3069,874.628,-70.7226,814.706
25,0,222.211,33.0444,-13.3246,874.64,-70.732,814.702
26,0,222.221,33.0339,-13.3347,874.671,-70.7444,814.703
27,0,222.219,33.0054,-13.3293,874.695,-70.7336,814.685
28,0,222.212,32.9873,-13.3597,874.718,-70.7195,814.673
29,0,222.213,32.9803,-13.3656,874.723,-70.7252,814.664
30,0,222.208,32.9771,-13.3631,874.719,-70.7141,814.664
31,0,222.206,32.991,-13.3655,874.69,-70.7024,814.675
32,0,222.205,33.0082,-13.35,874.672,-70.7199,814.681
33,0,222.18,33.078,-13.2969,874.65,-70.731,814.684
34,0,222.071,33.2858,-13.1661,874.668,-70.7711,814.668
35,0,222.296,32.8364,-13.4094,874.595,-70.7158,814.734
36,0,222.295,32.8446,-13.4191,874.591,-70.7169,814.738
37,0,222.301,32.8389,-13.4287,874.597,-70.7062,814.732
38,0,222.292,32.8408,-13.4505,874.609,-70.6888,814.733
39,0,222.295,32.82,-13.4389,874.643,-70.6847,814.709
40,0,222.294,32.8045,-13.4611,874.658,-70.6776,814.702
41,0,222.288,32.8015,-13.4585,874.673,-70.6718,814.692
42,0,222.288,32.8014,-13.459,874.685,-70.6822,814.692
43,0,222.288,32.8067,-13.4591,874.683,-70.6857,814.691
44,0,222.287,32.8251,-13.4605,874.667,-70.6913,814.698
45,0,222.282,32.8065,-13.4656,874.65,-70.6936,814.702
46,0,222.287,32.8239,-13.4349,874.631,-70.7066,814.705
47,0,222.28,32.8327,-13.4386,874.616,-70.7054,814.708
48,0,222.28,32.8244,-13.4437,874.604,-70.7234,814.708
49,0,222.284,32.8277,-13.4241,874.615,-70.7174,814.716
50,0,222.292,32.8163,-13.4339,874.613,-70.7258,814.72
51,0,222.291,32.8329,-13.4268,874.628,-70.7278,814.721
52,0,222.293,32.815,-13.4452,874.621,-70.7048,814.723
53,0,222.296,32.8123,-13.4682,874.619,-70.6995,814.721
54,0,222.294,32.8162,-13.4713,874.607,-70.6989,814.724
55,0,222.288,32.8274,-13.4686,874.615,-70.6935,814.719
56,0,222.291,32.8228,-13.4531,874.606,-70.6861,814.713
57,0,222.288,32.8372,-13.4515,874.599,-70.6864,814.709
58,0,222.288,32.8228,-13.4347,874.594,-70.6942,814.707
59,0,222.284,32.8388,-13.4297,874.599,-70.7028,814.704
60,0,222.286,32.8453,-13.4322,874.591,-70.7142,814.713
61,0,222.286,32.8608,-13.4364,874.595,-70.7163,814.722
62,0,222.286,32.8538,-13.4473,874.599,-70.7293,814.725
63,0,222.286,32.8646,-13.4307,874.627,-70.7317,814.72
64,0,222.285,32.8517,-13.4452,874.637,-70.7341,814.721
65,0,222.291,32.8351,-13.4571,874.641,-70.7306,814.718
66,0,222.286,32.8237,-13.4487,874.649,-70.7254,814.72
67,0,222.293,32.82,-13.4522,874.65,-70.7363,814.713
68,0,222.292,32.8257,-13.4628,874.643,-70.7146,814.711
69,0,222.286,32.8091,-13.4647,874.62,-70.7006,814.706
70,0,222.286,32.8298,-13.4553,874.61,-70.6979,814.702
71,0,222.284,32.8287,-13.4352,874.604,-70.7033,814.695
72,0,222.277,32.8412,-13.4291,874.592,-70.7049,814.695
