Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,34.2623,204.4,-117.029,1178.07,455.901,841.741
2,0,34.2637,204.404,-117.027,1178.07,455.902,841.737
3,0,34.281,204.413,-117.01,1178.04,455.892,841.739
4,0,34.2789,204.413,-117.006,1178.04,455.892,841.73
5,0,34.2866,204.41,-117.013,1178.04,455.891,841.738
6,0,34.2866,204.41,-117.013,1178.04,455.891,841.738
7,0,34.2813,204.41,-117.02,1178.04,455.889,841.744
8,0,34.2875,204.407,-117.015,1178.03,455.886,841.743
9,0,34.2951,204.405,-117.019,1178.03,455.885,841.749
10,0,34.2913,204.405,-117.018,1178.03,455.886,841.752
11,0,34.2913,204.405,-117.018,1178.03,455.886,841.752
12,0,34.3068,204.402,-117.022,1178.03,455.886,841.756
13,0,34.3068,204.402,-117.022,1178.03,455.886,841.756
14,0,34.302,204.407,-117.02,1178.03,455.887,841.75
15,0,34.3047,204.404,-117.015,1178.03,455.885,841.748
16,0,34.2927,204.403,-117.032,1178.04,455.885,841.75
17,0,34.3048,204.406,-117.017,1178.03,455.888,841.743
18,0,34.2993,204.406,-117.018,1178.04,455.884,841.743
19,0,34.295,204.408,-117.018,1178.04,455.885,841.74
20,0,34.298,204.406,-117.022,1178.04,455.883,841.744
21,0,34.3002,204.404,-117.02,1178.03,455.883,841.744
22,0,34.2962,204.406,-117.016,1178.03,455.88,841.746
23,0,34.3017,204.41,-117.014,1178.03,455.885,841.748
24,0,34.3026,204.407,-117.021,1178.03,455.881,841.753
25,0,34.3001,204.407,-117.014,1178.02,455.883,841.75
26,0,34.3037,204.408,-117.013,1178.02,455.881,841.752
27,0,34.3029,204.411,-117.009,1178.02,455.886,841.748
28,0,34.3031,204.407,-117.015,1178.02,455.882,841.753
29,0,34.3031,204.407,-117.015,1178.02,455.882,841.753
30,0,34.2974,204.406,-117.019,1178.03,455.883,841.748
31,0,34.2977,204.41,-117.018,1178.03,455.889,841.743
32,0,34.294,204.404,-117.02,1178.04,455.886,841.744
33,0,34.294,204.404,-117.02,1178.04,455.886,841.744
34,0,34.2939,204.4,-117.027,1178.04,455.886,841.746
35,0,34.2927,204.407,-117.023,1178.04,455.885,841.745
36,0,34.2916,204.411,-117.019,1178.04,455.886,841.746
37,0,34.2936,204.406,-117.02,1178.04,455.883,841.747
38,0,34.2936,204.406,-117.02,1178.04,455.883,841.747
39,0,34.3008,204.403,-117.023,1178.03,455.885,841.755
40,0,34.2973,204.405,-117.019,1178.03,455.886,841.755
41,0,34.2973,204.405,-117.019,1178.03,455.886,841.755
42,0,34.2963,204.404,-117.023,1178.02,455.882,841.755
43,0,34.3038,204.404,-117.023,1178.03,455.882,841.752
44,0,34.2889,204.408,-117.015,1178.03,455.882,841.744
45,0,34.2999,204.404,-117.023,1178.03,455.881,841.747
46,0,34.3037,204.407,-117.014,1178.03,455.884,841.741
47,0,34.3024,204.403,-117.018,1178.04,455.882,841.745
48,0,34.3024,204.403,-117.018,1178.04,455.882,841.745
49,0,34.2961,204.402,-117.024,1178.04,455.881,841.745
50,0,34.2977,204.404,-117.017,1178.04,455.878,841.743
51,0,34.2981,204.405,-117.017,1178.04,455.882,841.746
52,0,34.2962,204.404,-117.024,1178.03,455.883,841.75
53,0,34.2961,204.401,-117.02,1178.03,455.882,841.753
54,0,34.2895,204.409,-117.02,1178.03,455.885,841.756
55,0,34.2981,204.408,-117.017,1178.03,455.886,841.751
56,0,34.2986,204.403,-117.019,1178.03,455.882,841.751
57,0,34.2986,204.403,-117.019,1178.03,455.882,841.751
58,0,34.3038,204.405,-117.019,1178.03,455.884,841.751
59,0,34.3007,204.402,-117.016,1178.03,455.882,841.743
60,0,34.2969,204.405,-117.016,1178.04,455.884,841.743
