Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,208.706,47.4328,-23.8907,892.057,52.3819,776.045
2,0,208.706,47.4368,-23.8957,892.058,52.3815,776.047
3,0,208.707,47.4293,-23.8957,892.069,52.3793,776.049
4,0,208.71,47.4264,-23.8962,892.078,52.3805,776.05
5,0,208.711,47.4233,-23.9029,892.088,52.3768,776.053
6,0,208.711,47.4233,-23.9029,892.088,52.3768,776.053
7,0,208.713,47.4207,-23.915,892.089,52.38,776.058
8,0,208.708,47.4212,-23.9034,892.086,52.3748,776.054
9,0,208.707,47.4252,-23.9112,892.08,52.3766,776.049
10,0,208.703,47.4324,-23.9042,892.067,52.3781,776.048
11,0,208.703,47.4363,-23.9089,892.056,52.377,776.045
12,0,208.696,47.444,-23.9147,892.043,52.3759,776.044
13,0,208.694,47.4479,-23.9041,892.039,52.3771,776.038
14,0,208.691,47.4498,-23.9076,892.036,52.3721,776.038
15,0,208.694,47.449,-23.9086,892.036,52.374,776.043
16,0,208.694,47.4442,-23.9022,892.048,52.3716,776.041
17,0,208.694,47.4418,-23.9065,892.055,52.3702,776.043
18,0,208.699,47.4388,-23.9098,892.061,52.3669,776.051
19,0,208.702,47.4301,-23.9047,892.07,52.3751,776.052
20,0,208.703,47.4335,-23.91,892.078,52.3699,776.052
21,0,208.702,47.43,-23.9163,892.079,52.3742,776.053
22,0,208.706,47.4287,-23.9132,892.078,52.3754,776.051
23,0,208.701,47.4329,-23.9147,892.07,52.3763,776.051
24,0,208.699,47.4354,-23.9136,892.06,52.3786,776.045
25,0,208.696,47.439,-23.909,892.055,52.3772,776.038
26,0,208.695,47.4428,-23.9032,892.05,52.3769,776.039
27,0,208.697,47.4457,-23.9114,892.042,52.3766,776.042
28,0,208.696,47.4442,-23.9061,892.044,52.371,776.044
29,0,208.697,47.4428,-23.9038,892.049,52.367,776.044
30,0,208.696,47.4446,-23.9118,892.049,52.3662,776.051
31,0,208.697,47.4414,-23.9086,892.054,52.3646,776.053
32,0,208.697,47.4414,-23.9086,892.054,52.3646,776.053
33,0,208.701,47.4356,-23.906,892.061,52.364,776.053
34,0,208.7,47.4391,-23.9132,892.066,52.3629,776.056
35,0,208.7,47.439,-23.9089,892.061,52.3695,776.051
36,0,208.7,47.4367,-23.9091,892.062,52.3756,776.047
37,0,208.697,47.4383,-23.9065,892.062,52.3755,776.042
38,0,208.697,47.4353,-23.9037,892.061,52.3783,776.037
39,0,208.691,47.4394,-23.9126,892.057,52.3721,776.036
40,0,208.694,47.4339,-23.9056,892.064,52.3709,776.037
41,0,208.696,47.4341,-23.9092,892.06,52.3644,776.043
42,0,208.699,47.4346,-23.91,892.063,52.3558,776.049
43,0,208.701,47.4386,-23.912,892.056,52.3492,776.062
44,0,208.703,47.442,-23.9081,892.051,52.3446,776.068
45,0,208.702,47.4434,-23.9107,892.042,52.3426,776.069
46,0,208.7,47.4511,-23.9126,892.031,52.342,776.069
47,0,208.696,47.4485,-23.9007,892.032,52.3524,776.058
48,0,208.694,47.4517,-23.9095,892.029,52.3601,776.048
49,0,208.693,47.4467,-23.903,892.034,52.3687,776.039
50,0,208.692,47.4426,-23.9121,892.042,52.3744,776.03
51,0,208.693,47.4357,-23.9034,892.057,52.3823,776.027
52,0,208.695,47.4321,-23.9067,892.069,52.386,776.028
53,0,208.699,47.4269,-23.9093,892.079,52.3841,776.037
54,0,208.697,47.4272,-23.9182,892.083,52.3755,776.041
55,0,208.702,47.4269,-23.9212,892.084,52.3706,776.049
56,0,208.706,47.4267,-23.9082,892.081,52.3657,776.057
57,0,208.704,47.4346,-23.9126,892.065,52.3666,776.057
58,0,208.7,47.439,-23.9068,892.057,52.3602,776.054
59,0,208.696,47.4448,-23.9,892.045,52.3602,776.049
60,0,208.696,47.4497,-23.9071,892.036,52.3591,776.047
61,0,208.692,47.453,-23.9072,892.026,52.3643,776.046
62,0,208.693,47.4481,-23.9024,892.031,52.3666,776.039
63,0,208.693,47.4481,-23.9024,892.031,52.3666,776.039
64,0,208.694,47.444,-23.9152,892.044,52.3677,776.043
65,0,208.696,47.4371,-23.9127,892.05,52.3747,776.04
66,0,208.698,47.4327,-23.9144,892.062,52.3691,776.039
67,0,208.702,47.4287,-23.9113,892.069,52.3705,776.047
68,0,208.703,47.4297,-23.9191,892.066,52.373,776.053
69,0,208.699,47.4314,-23.9175,892.069,52.3669,776.052
70,0,208.705,47.4324,-23.9094,892.063,52.3648,776.054
71,0,208.704,47.4376,-23.9097,892.051,52.3651,776.054
72,0,208.698,47.4412,-23.9026,892.043,52.3657,776.047
73,0,208.696,47.4468,-23.9088,892.036,52.3625,776.048
74,0,208.697,47.4436,-23.9032,892.036,52.3672,776.046
75,0,208.693,47.4476,-23.9071,892.032,52.3639,776.043
76,0,208.695,47.4456,-23.9084,892.04,52.3652,776.042
77,0,208.695,47.4415,-23.917,892.04,52.3695,776.044
78,0,208.699,47.4354,-23.9108,892.053,52.3701,776.044
79,0,208.703,47.4334,-23.9083,892.057,52.3707,776.047
80,0,208.701,47.4332,-23.9117,892.067,52.3677,776.045
81,0,208.701,47.4288,-23.9072,892.067,52.3679,776.048
82,0,208.701,47.4288,-23.9072,892.067,52.3679,776.048
83,0,208.7,47.4376,-23.9111,892.06,52.3653,776.053
84,0,208.704,47.4339,-23.9062,892.055,52.3714,776.05
85,0,208.702,47.4382,-23.9033,892.047,52.3705,776.051
86,0,208.698,47.4418,-23.9067,892.045,52.3723,776.046
87,0,208.699,47.441,-23.904,892.04,52.3754,776.041
88,0,208.696,47.4426,-23.9032,892.038,52.3754,776.038
89,0,208.693,47.4424,-23.9092,892.04,52.3708,776.035
90,0,208.696,47.4404,-23.9035,892.048,52.372,776.037
91,0,208.699,47.4343,-23.9053,892.051,52.3697,776.043
92,0,208.7,47.4343,-23.9094,892.056,52.367,776.045
93,0,208.702,47.4353,-23.9057,892.057,52.3646,776.049
94,0,208.704,47.4344,-23.9086,892.059,52.3626,776.05
95,0,208.701,47.4359,-23.9046,892.056,52.3635,776.051
96,0,208.705,47.434,-23.9026,892.055,52.3665,776.049
97,0,208.7,47.4393,-23.9033,892.05,52.3645,776.049
98,0,208.7,47.4393,-23.9033,892.05,52.3645,776.049
99,0,208.701,47.4378,-23.8989,892.049,52.368,776.043
100,0,208.699,47.4396,-23.9101,892.048,52.3653,776.042
101,0,208.697,47.4375,-23.9024,892.047,52.3744,776.038
102,0,208.702,47.4353,-23.8984,892.052,52.3759,776.044
103,0,208.703,47.4313,-23.8946,892.057,52.3758,776.039
104,0,208.699,47.437,-23.9057,892.051,52.3715,776.042
105,0,208.699,47.437,-23.9057,892.051,52.3715,776.042
106,0,208.699,47.437,-23.9057,892.051,52.3715,776.042
107,0,208.699,47.437,-23.9057,892.051,52.3715,776.042
108,0,208.7,47.4336,-23.8997,892.058,52.3676,776.043
109,0,208.7,47.4336,-23.8997,892.058,52.3676,776.043
110,0,208.701,47.4372,-23.9062,892.053,52.3695,776.048
111,0,208.701,47.4372,-23.9062,892.053,52.3695,776.048
112,0,208.701,47.4372,-23.9062,892.053,52.3695,776.048
113,0,208.697,47.4365,-23.9019,892.052,52.3689,776.044
114,0,208.702,47.4371,-23.9015,892.054,52.3705,776.049
115,0,208.703,47.4343,-23.9001,892.05,52.3731,776.049
116,0,208.703,47.4343,-23.9001,892.05,52.3731,776.049
117,0,208.697,47.4401,-23.9142,892.045,52.3726,776.04
118,0,208.699,47.4369,-23.9032,892.048,52.3765,776.04
119,0,208.696,47.4352,-23.8997,892.047,52.3788,776.039
120,0,208.696,47.437,-23.9095,892.05,52.3774,776.037
121,0,208.7,47.4357,-23.9009,892.054,52.3767,776.037
122,0,208.696,47.4356,-23.9087,892.053,52.3763,776.04
123,0,208.699,47.4334,-23.8997,892.055,52.3745,776.037
124,0,208.701,47.4337,-23.9017,892.058,52.3707,776.041
125,0,208.7,47.4331,-23.9044,892.059,52.3704,776.049
126,0,208.697,47.4364,-23.9055,892.056,52.3659,776.052
127,0,208.697,47.4377,-23.9083,892.05,52.368,776.052
128,0,208.699,47.4397,-23.912,892.047,52.3676,776.054
129,0,208.703,47.4415,-23.9119,892.042,52.3721,776.054
130,0,208.699,47.4391,-23.9062,892.044,52.3747,776.047
131,0,208.696,47.4401,-23.9006,892.043,52.3752,776.036
132,0,208.699,47.4381,-23.8948,892.045,52.3801,776.038
133,0,208.697,47.436,-23.9007,892.05,52.3771,776.037
134,0,208.7,47.4328,-23.8996,892.057,52.3772,776.032
135,0,208.694,47.4354,-23.9064,892.057,52.375,776.033
136,0,208.697,47.4306,-23.9013,892.061,52.3758,776.032
137,0,208.7,47.4275,-23.9031,892.065,52.3736,776.032
138,0,208.696,47.4345,-23.908,892.055,52.3715,776.037
139,0,208.702,47.4341,-23.8967,892.058,52.3719,776.049
140,0,208.695,47.4413,-23.9052,892.051,52.3676,776.05
141,0,208.697,47.4396,-23.9111,892.045,52.3656,776.05
142,0,208.696,47.4434,-23.9092,892.043,52.3651,776.052
143,0,208.694,47.444,-23.9049,892.043,52.3661,776.048
144,0,208.698,47.4434,-23.9051,892.042,52.368,776.048
145,0,208.696,47.4427,-23.9082,892.042,52.3694,776.044
146,0,208.692,47.4416,-23.9097,892.044,52.3732,776.039
147,0,208.697,47.4331,-23.9072,892.055,52.377,776.039
148,0,208.698,47.4344,-23.9049,892.058,52.3758,776.035
149,0,208.699,47.4335,-23.9034,892.065,52.3773,776.037
150,0,208.702,47.43,-23.9037,892.063,52.3794,776.035
151,0,208.701,47.4301,-23.896,892.066,52.3785,776.033
152,0,208.7,47.4345,-23.9026,892.058,52.3732,776.033
153,0,208.698,47.4357,-23.9031,892.053,52.375,776.043
154,0,208.696,47.4432,-23.9125,892.049,52.3701,776.043
155,0,208.699,47.4397,-23.901,892.045,52.3711,776.043
156,0,208.699,47.4397,-23.901,892.045,52.3711,776.043
157,0,208.699,47.4397,-23.901,892.045,52.3711,776.043
158,0,208.699,47.4397,-23.901,892.045,52.3711,776.043
159,0,208.699,47.4397,-23.901,892.045,52.3711,776.043
160,0,208.695,47.4411,-23.9097,892.051,52.3718,776.041
161,0,208.698,47.4366,-23.9072,892.054,52.3725,776.037
162,0,208.697,47.434,-23.9012,892.06,52.3751,776.037
163,0,208.697,47.434,-23.9012,892.06,52.3751,776.037
164,0,208.697,47.434,-23.9012,892.06,52.3751,776.037

Trajectories
100
,,New Subject:gripper1,,,New Subject:gripper2,,,New Subject:gripper3,,,New Subject:gripper4,,,New Subject:gripper5,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,891.325,53.1613,776.723,905.9,30.375,809.344,976.206,-128.842,669.886,989.542,72.7991,802.675,867.841,10.4791,813.76
2,0,891.326,53.1578,776.725,905.903,30.3739,809.341,976.212,-128.839,669.88,989.543,72.8036,802.676,867.845,10.4811,813.767
3,0,891.336,53.1587,776.726,905.916,30.3684,809.343,976.209,-128.845,669.889,989.558,72.7964,802.674,867.851,10.478,813.767
4,0,891.348,53.1566,776.727,905.926,30.3705,809.347,976.21,-128.845,669.88,989.562,72.7937,802.675,867.863,10.4813,813.765
5,0,891.362,53.1536,776.727,905.931,30.3631,809.351,976.21,-128.85,669.874,989.577,72.7912,802.671,867.874,10.4783,813.772
6,0,891.363,53.1496,776.729,905.935,30.3613,809.35,976.213,-128.854,669.875,989.572,72.7948,802.671,867.869,10.4833,813.776
7,0,891.369,53.1506,776.734,905.941,30.3727,809.359,976.2,-128.846,669.864,989.576,72.7952,802.664,867.876,10.4809,813.776
8,0,891.369,53.1532,776.733,905.933,30.3615,809.354,976.211,-128.865,669.88,989.568,72.7924,802.67,867.867,10.4832,813.778
9,0,891.363,53.1423,776.726,905.933,30.3687,809.354,976.209,-128.857,669.868,989.559,72.7986,802.658,867.862,10.4915,813.772
10,0,891.353,53.1482,776.727,905.918,30.3686,809.354,976.217,-128.86,669.875,989.542,72.8098,802.666,867.844,10.4938,813.772
11,0,891.343,53.1438,776.72,905.911,30.3706,809.353,976.208,-128.857,669.864,989.525,72.8124,802.663,867.839,10.4916,813.77
12,0,891.336,53.1445,776.726,905.903,30.3694,809.355,976.215,-128.859,669.874,989.508,72.8247,802.655,867.826,10.4938,813.769
13,0,891.327,53.1447,776.712,905.901,30.3716,809.353,976.225,-128.855,669.878,989.5,72.8216,802.659,867.817,10.4981,813.766
14,0,891.325,53.1452,776.715,905.894,30.3731,809.354,976.229,-128.871,669.881,989.494,72.8233,802.659,867.819,10.4911,813.771
15,0,891.32,53.1395,776.727,905.898,30.3696,809.356,976.222,-128.862,669.879,989.501,72.8272,802.663,867.817,10.4952,813.764
16,0,891.34,53.1355,776.724,905.904,30.368,809.358,976.231,-128.869,669.883,989.51,72.8151,802.659,867.823,10.4972,813.764
17,0,891.347,53.1398,776.735,905.908,30.3646,809.358,976.235,-128.874,669.883,989.524,72.813,802.653,867.828,10.4955,813.767
18,0,891.351,53.1318,776.737,905.914,30.365,809.356,976.226,-128.869,669.881,989.533,72.804,802.663,867.84,10.4856,813.779
19,0,891.36,53.1368,776.729,905.913,30.3789,809.368,976.223,-128.87,669.879,989.546,72.8013,802.665,867.845,10.4955,813.782
20,0,891.372,53.1387,776.73,905.937,30.3544,809.358,976.228,-128.87,669.871,989.546,72.8097,802.666,867.852,10.4906,813.779
21,0,891.374,53.1449,776.736,905.94,30.3558,809.354,976.219,-128.871,669.872,989.549,72.8177,802.663,867.856,10.4955,813.782
22,0,891.374,53.1438,776.735,905.933,30.3596,809.355,976.216,-128.863,669.864,989.55,72.8076,802.658,867.854,10.4954,813.776
23,0,891.363,53.1425,776.735,905.926,30.3743,809.361,976.221,-128.864,669.875,989.54,72.81,802.656,867.848,10.4951,813.778
24,0,891.352,53.1434,776.724,905.917,30.3734,809.357,976.216,-128.864,669.871,989.525,72.8179,802.656,867.841,10.5017,813.774
25,0,891.344,53.1475,776.719,905.915,30.3659,809.348,976.221,-128.867,669.877,989.525,72.827,802.654,867.828,10.4967,813.764
26,0,891.343,53.1464,776.722,905.903,30.3764,809.356,976.229,-128.865,669.879,989.514,72.8195,802.656,867.824,10.4954,813.763
27,0,891.34,53.137,776.729,905.895,30.3733,809.347,976.217,-128.848,669.875,989.507,72.8196,802.651,867.82,10.4953,813.769
28,0,891.337,53.139,776.725,905.897,30.3655,809.35,976.222,-128.866,669.88,989.507,72.8155,802.663,867.824,10.4918,813.774
29,0,891.339,53.1324,776.726,905.907,30.36,809.351,976.223,-128.869,669.88,989.513,72.8108,802.665,867.825,10.4876,813.769
30,0,891.336,53.1316,776.737,905.906,30.3616,809.363,976.227,-128.87,669.882,989.516,72.8108,802.662,867.828,10.4901,813.776
31,0,891.348,53.1316,776.741,905.904,30.3622,809.36,976.226,-128.877,669.881,989.52,72.8088,802.667,867.834,10.4846,813.779
32,0,891.345,53.1319,776.735,905.915,30.355,809.364,976.223,-128.876,669.877,989.524,72.8054,802.67,867.835,10.4896,813.784
33,0,891.346,53.131,776.733,905.918,30.3548,809.357,976.219,-128.875,669.88,989.531,72.7993,802.671,867.838,10.4861,813.78
34,0,891.357,53.1278,776.741,905.926,30.3521,809.36,976.228,-128.873,669.874,989.534,72.806,802.668,867.843,10.4863,813.783
35,0,891.354,53.1374,776.73,905.914,30.3629,809.359,976.223,-128.867,669.876,989.529,72.8102,802.667,867.841,10.4864,813.779
36,0,891.356,53.1415,776.73,905.92,30.3651,809.352,976.221,-128.864,669.874,989.526,72.8161,802.663,867.839,10.4987,813.775
37,0,891.357,53.1425,776.722,905.921,30.3675,809.351,976.225,-128.869,669.877,989.523,72.8227,802.663,867.838,10.4953,813.768
38,0,891.352,53.1417,776.721,905.915,30.3719,809.345,976.224,-128.867,669.877,989.525,72.8159,802.654,867.838,10.5053,813.762
39,0,891.349,53.1423,776.715,905.92,30.368,809.35,976.228,-128.877,669.886,989.518,72.8221,802.65,867.838,10.4949,813.767
40,0,891.356,53.1445,776.715,905.929,30.3564,809.352,976.226,-128.883,669.887,989.525,72.8153,802.654,867.833,10.4981,813.768
41,0,891.348,53.13,776.717,905.917,30.3591,809.357,976.219,-128.882,669.883,989.527,72.8025,802.657,867.842,10.4903,813.772
42,0,891.352,53.1272,776.726,905.917,30.3492,809.361,976.22,-128.887,669.88,989.531,72.7908,802.661,867.843,10.4756,813.778
43,0,891.35,53.1188,776.744,905.913,30.34,809.368,976.217,-128.886,669.883,989.525,72.789,802.673,867.833,10.4663,813.79
44,0,891.348,53.1084,776.753,905.906,30.3373,809.371,976.216,-128.882,669.882,989.513,72.7811,802.682,867.829,10.4624,813.792
45,0,891.338,53.1075,776.755,905.898,30.3407,809.374,976.21,-128.887,669.882,989.509,72.7837,802.682,867.817,10.4562,813.794
46,0,891.323,53.1006,776.749,905.888,30.3477,809.376,976.214,-128.879,669.879,989.498,72.7859,802.683,867.811,10.4554,813.796
47,0,891.32,53.1177,776.741,905.885,30.3546,809.37,976.221,-128.882,669.893,989.494,72.7941,802.681,867.809,10.4717,813.784
48,0,891.32,53.1356,776.732,905.897,30.3506,809.356,976.22,-128.872,669.879,989.486,72.8104,802.665,867.807,10.479,813.775
49,0,891.321,53.1325,776.716,905.886,30.3683,809.353,976.221,-128.866,669.884,989.499,72.811,802.66,867.815,10.4912,813.767
50,0,891.328,53.142,776.716,905.904,30.3645,809.339,976.219,-128.866,669.875,989.508,72.8219,802.641,867.822,10.5024,813.757
51,0,891.348,53.1533,776.72,905.914,30.37,809.341,976.229,-128.868,669.884,989.523,72.8213,802.636,867.824,10.5143,813.751
