1,0.238770,3.026820,-2.396355,-0.938142,0.595964,1.120000
2,-0.040721,2.834293,-2.392183,-1.197760,0.297353,1.117830
4,-0.669898,-1.584797,0.973911,-0.415266,1.017480,1.125790
5,-1.223659,-1.054565,0.275247,0.697708,0.597097,1.121680
6,-1.648907,-0.069738,-0.733061,0.635469,-0.315225,1.108150
8,2.691193,-0.610525,2.060902,0.186291,-0.352995,1.000660
9,-0.383026,-1.806643,0.318366,-0.023635,0.654492,1.013900
10,-0.229830,-1.846000,0.431119,-0.195913,0.569753,1.011860
11,-0.099028,-1.870522,0.523487,-0.365475,0.931306,1.016270
12,-0.292943,-1.828896,0.375113,-0.544398,0.629399,1.011290
13,-0.130099,-1.862930,0.498799,-0.644848,0.679434,1.011920
14,-0.257473,-1.837011,0.403812,-0.558629,0.383262,1.007460
15,-0.590248,-1.620327,0.979355,-0.582156,0.791247,1.059670
16,1.159270,3.307067,-2.207754,-0.559847,1.058790,1.363460
17,0.960526,3.233449,-2.272454,-0.678995,1.270840,1.367860
